# Undirected graph (each unordered pair of nodes is saved once): data_created_physics/graphs/user-user.txt
# User-user graph created using posts
# Nodes: 9903 Edges: 56885
# NodeId	NodeId
4864	12496
4864	12533
4864	12545
4864	12549
4864	12563
4864	12595
4864	12613
4864	12623
4864	12660
4864	12720
4864	12736
4864	12797
4864	12798
4864	12808
4864	12810
4864	12899
4864	12940
4864	12957
4864	12981
4864	12998
4864	14022
4864	14034
4864	14105
4864	14107
4864	14117
4864	14148
4864	14161
4864	14176
4864	14182
4864	14202
4864	14306
4864	14343
4864	14368
4864	14420
4864	14443
4864	14470
4864	14473
4864	15559
4864	15607
4864	15629
4864	15650
4864	15672
4864	15732
4864	15735
4864	15793
4864	15797
4864	15812
4864	15886
4864	16052
4864	16088
4864	16245
4864	16275
4864	16334
4864	16409
4864	16421
4864	16426
4864	16446
4864	16530
4864	16660
4864	16663
4864	16693
4864	17026
4864	17224
4864	17292
4864	17320
4864	17341
4864	17584
4864	17629
4864	17641
4864	18685
4864	18687
4864	18806
4864	18807
4864	19921
4864	19976
4864	20184
4864	20235
4864	20267
4864	20356
4864	20401
4864	20415
4864	20593
4864	20602
4864	20666
4864	20712
4864	20731
4864	20752
4864	20762
4864	20769
4864	20774
4864	20779
4864	20955
4864	21000
4864	21253
4864	21270
4864	21488
4864	21490
4864	21528
4864	21546
4864	21885
4864	22138
4864	22191
4864	22278
4864	22749
4864	23095
4864	23119
4864	23194
4864	23268
4864	23498
4864	23582
4864	23657
4864	23886
4864	24015
4864	24016
4864	24017
4864	24049
4864	24080
4864	24142
4864	24236
4864	24452
4864	24471
4864	24640
4864	24721
4864	25069
4864	25188
4864	25217
4864	25349
4864	25594
4864	25627
4864	25707
4864	25864
4864	26071
4864	26259
4864	26618
4864	26859
4864	27026
4864	27056
4864	27261
4864	27513
4864	28112
4864	28370
4864	28524
4864	28729
4864	28765
4864	28921
4864	28922
4864	29235
4864	29485
4864	29984
4864	30123
4864	30226
4864	30472
4864	30659
4864	31168
4864	31496
4864	31534
4864	31748
4864	32045
4864	32426
4864	33810
4864	33899
4864	33968
4864	34445
4864	34919
4864	35024
4864	35142
4864	35297
4864	35662
4864	36194
4864	36790
4864	36915
4864	37452
4864	37775
4864	38865
4864	39903
4864	39955
4864	41422
4864	42031
4864	42112
4864	42246
4864	42562
4864	42576
4864	42696
4864	43276
4864	43351
4864	43393
4864	43429
4864	43495
4864	44013
4864	44176
4864	44190
4864	44332
4864	44558
4864	44635
4864	44881
4864	45239
4864	45341
4864	45533
4864	45753
4864	46383
4864	46480
4864	46496
4864	49028
4864	50572
4864	52647
4864	53034
4864	55484
4864	55662
4864	55989
4864	56317
4864	56578
4864	56601
4864	56679
4864	56716
4864	56903
4864	56960
4864	57168
4864	57670
4864	57780
4864	57946
4864	57975
4864	59023
4864	62446
4864	62848
4864	62920
4864	64166
4864	65097
4864	66150
4864	66494
4864	68036
4864	68851
4864	68919
4864	70192
4864	70999
4864	72068
4864	72441
4864	73738
4864	73762
4864	73924
4864	74013
4864	74498
4864	74510
4864	75107
4864	76712
4864	76891
4864	76992
4864	78469
4864	78557
4864	78821
4864	80606
4864	81111
4864	81744
42	42
42	47
42	48
42	50
42	59
42	62
42	66
42	68
42	74
42	78
42	82
42	95
42	97
42	107
42	124
42	133
42	141
42	142
42	158
42	217
42	232
42	266
42	292
42	306
42	317
42	329
42	345
42	347
42	358
42	383
42	391
42	392
42	399
42	489
42	520
42	667
42	843
42	869
42	948
42	955
42	1013
42	1039
42	1186
42	1257
42	1272
42	1360
42	1492
42	1611
42	1804
42	2190
42	2451
42	3018
42	3199
42	3423
42	3572
42	3735
42	3917
42	4191
42	4263
42	4435
42	4552
42	4864
42	5223
42	6432
42	6790
42	6901
42	6974
42	7786
42	8901
42	9627
42	10991
42	20213
42	20523
42	21801
42	26076
42	31227
42	31790
59	66
59	74
59	78
59	82
59	124
59	126
59	139
59	142
59	154
59	165
59	166
59	184
59	218
59	225
59	243
59	306
59	329
59	386
59	391
59	474
59	489
59	520
59	543
59	661
59	1039
59	1236
59	1337
59	1352
59	1390
59	1423
59	1495
59	1543
59	1610
59	1739
59	3797
59	4020
59	4107
59	4435
59	4864
59	5020
59	5699
59	5827
59	6432
59	6911
59	7058
59	8434
59	8744
59	8753
59	9267
59	9563
59	10049
59	11582
59	12660
59	12998
59	17292
59	17341
59	20731
59	21801
59	21843
59	23582
59	24208
59	25287
59	26259
59	31438
59	32199
59	32209
59	33844
59	35145
59	55356
59	57133
47	47
